Work Item ID,Issue Type,Summary,Epic Name,Parent,Description,Priority,Story Points,Labels,Components
194,Story,File search and filtering,,6,Implement comprehensive file search and filtering capabilities - UC-181,Medium,5,file-search file-filtering search-functionality file-discovery,File Management
195,Story,File versioning and history,,6,Implement file versioning and change history tracking - UC-182,Medium,5,file-versioning version-control change-history file-lifecycle,File Management
196,Story,File backup and recovery,,6,Implement file backup and recovery functionality - UC-183,High,8,file-backup disaster-recovery data-protection file-management,File Management
197,Story,Cloud storage integration,,6,Implement Google Cloud Storage integration for file storage - UC-184,High,8,cloud-storage google-cloud-storage integration storage-backend,File Management
198,Story,File sharing and permissions,,6,Implement file sharing with granular permissions - UC-185,Medium,5,file-sharing permissions access-control sharing-management,File Management
199,Story,File preview and thumbnails,,6,Implement file preview and thumbnail generation - UC-186,Medium,5,file-preview thumbnails preview-generation file-display,File Management
200,Story,File download and export,,6,Enable file download and export functionality - UC-187,Medium,3,file-download file-export data-portability file-access,File Management
201,Story,File statistics and usage reports,,6,Implement file statistics and usage reporting - UC-188,Medium,3,file-statistics usage-reports analytics file-analytics,File Management
354,Task,Make related contacts clickable in relationship modals (2025-08-15),,140,Git commit ea7c935 - Make related contacts clickable in relationship modals,Medium,2,contact-relationships ui-improvement git-commit,Contacts
355,Task,Fix JavaScript variable conflicts by creating shared configuration (2025-08-15),,10,Git commit 37e51f0 - Fix JavaScript variable conflicts by creating shared configuration,Medium,3,security javascript configuration git-commit,Security
356,Task,Fix YouTube URL submission - improve error handling and authentication (2025-08-15),,60,Git commit 73e5ada - Fix YouTube URL submission - improve error handling and authentication,Medium,5,youtube error-handling authentication git-commit,AI Analysis
357,Task,Fix file statistics not updating - add null handling and dynamic refresh (2025-08-15),,201,Git commit 8a496cd - Fix file statistics not updating - add null handling and dynamic refresh,Medium,3,file-statistics error-handling git-commit,File Management
358,Task,Complete audit and fix of AI usage and storage tracking system (2025-08-15),,7,Git commit 6fd6c7c - Complete audit and fix of AI usage and storage tracking system,Medium,8,ai-usage tracking audit git-commit,Administration
359,Task,Fix AI usage tracking for OpenAI API calls (2025-08-15),,11,Git commit 0154713 - Fix AI usage tracking for OpenAI API calls,Medium,5,openai api-tracking usage git-commit,Integration
360,Task,Standardize Google Cloud Storage bucket configuration (2025-08-15),,197,Git commit abd9f3d - Standardize Google Cloud Storage bucket configuration,Medium,3,google-cloud storage configuration git-commit,File Management
361,Task,Configure WebAuthn to use ALLOWED_ORIGINS for production domains (2025-08-15),,22,Git commit 0a4b731 - Configure WebAuthn to use ALLOWED_ORIGINS for production domains,Medium,5,webauthn security authentication git-commit,Authentication
362,Task,Update passport libraries to specific versions and rebuild Docker container (2025-08-15),,15,Git commit e48acba - Updated passport libraries to specific versions and rebuilt Docker container,Medium,3,passport oauth libraries git-commit,Authentication
363,Task,Fix nginx Origin header forwarding for WebAuthn passkey authentication (2025-08-15),,22,Git commit 5c2ed77 - Fix nginx Origin header forwarding for WebAuthn passkey authentication,Medium,5,nginx webauthn headers git-commit,Authentication
364,Task,Fix WebAuthn origin mismatch for HTTPS - passkey login now works (2025-08-15),,22,Git commit abaa69d - Fix WebAuthn origin mismatch for HTTPS - passkey login now works on https://localhost,Medium,5,webauthn https authentication git-commit,Authentication
